OMRP,men,women,pop_total,mean_age,age_0_14,age_15_24,age_25_44,age_45_64,age_65_plus,pct_0_14,pct_65_plus,pct_women
10807,12,24,36,82.75,0,0,0,1,35,0.0,97.22222222222223,66.66666666666667
10808,327,350,677,42.38552437223043,47,137,209,133,151,6.942392909896602,22.304283604135893,51.698670605612996
10809,11,12,23,24.217391304347824,0,12,11,0,0,0.0,0.0,52.17391304347826
10810,12,11,23,24.0,1,10,12,0,0,4.3478260869565215,0.0,47.82608695652174
10811,242,258,500,25.406,92,86,290,31,1,18.4,0.2,51.6
10812,51,61,112,23.142857142857142,0,82,30,0,0,0.0,0.0,54.464285714285715
10813,294,326,620,42.553225806451614,111,70,101,213,125,17.903225806451612,20.161290322580644,52.58064516129032
10814,11,15,26,22.653846153846153,1,17,8,0,0,3.8461538461538463,0.0,57.69230769230769
10815,192,246,438,47.6986301369863,16,83,110,84,145,3.65296803652968,33.10502283105023,56.16438356164384
10816,285,301,586,35.41638225255973,54,138,232,84,78,9.215017064846416,13.310580204778157,51.36518771331058
10817,11,8,19,46.8421052631579,0,0,7,9,3,0.0,15.789473684210526,42.10526315789474
10901,14,16,30,39.03333333333333,7,3,9,7,4,23.333333333333332,13.333333333333334,53.333333333333336
10902,100,84,184,42.15760869565217,34,11,48,62,29,18.47826086956522,15.76086956521739,45.65217391304348
10903,1589,1597,3186,43.82642812303829,533,323,692,812,826,16.72944130571249,25.925925925925927,50.125549278091654
10904,7,8,15,29.933333333333334,4,2,4,5,0,26.666666666666668,0.0,53.333333333333336
10905,47,50,97,36.58762886597938,19,14,25,29,10,19.587628865979383,10.309278350515465,51.54639175257732
10906,57,77,134,50.06716417910448,25,5,24,29,51,18.65671641791045,38.059701492537314,57.46268656716418
10907,97,101,198,31.97979797979798,54,34,41,63,6,27.272727272727273,3.0303030303030303,51.01010101010101
10908,253,225,478,34.82845188284519,103,47,172,104,52,21.548117154811717,10.878661087866108,47.07112970711297
10909,308,271,579,38.362694300518136,105,76,165,140,93,18.134715025906736,16.06217616580311,46.80483592400691
10910,12,16,28,41.642857142857146,5,3,4,15,1,17.857142857142858,3.5714285714285716,57.142857142857146
10911,13,9,22,31.59090909090909,5,4,7,5,1,22.727272727272727,4.545454545454546,40.90909090909091
11001,428,527,955,44.74554973821989,123,108,219,270,235,12.879581151832461,24.607329842931936,55.18324607329843
11002,94,74,168,46.517857142857146,15,14,33,80,26,8.928571428571429,15.476190476190476,44.04761904761905
11003,111,99,210,40.25238095238095,35,26,48,74,27,16.666666666666668,12.857142857142858,47.142857142857146
11004,3,5,8,32.25,1,3,0,4,0,12.5,0.0,62.5
11005,28,26,54,42.2037037037037,12,3,16,13,10,22.22222222222222,18.51851851851852,48.148148148148145
11006,2,1,3,25.666666666666668,1,0,1,1,0,33.333333333333336,0.0,33.333333333333336
11007,11,12,23,45.73913043478261,1,4,3,13,2,4.3478260869565215,8.695652173913043,52.17391304347826
11008,10,16,26,76.03846153846153,0,0,0,3,23,0.0,88.46153846153847,61.53846153846154
11009,20,35,55,51.10909090909091,0,11,11,16,17,0.0,30.90909090909091,63.63636363636363
11010,3,6,9,30.0,0,3,5,1,0,0.0,0.0,66.66666666666667
11011,11,11,22,47.36363636363637,5,0,4,7,6,22.727272727272727,27.272727272727273,50.0
11012,94,125,219,35.981735159817354,50,32,54,52,31,22.831050228310502,14.155251141552512,57.077625570776256
11013,187,229,416,41.11057692307692,81,40,105,95,95,19.471153846153847,22.83653846153846,55.04807692307692
11014,132,114,246,31.776422764227643,14,75,110,32,15,5.691056910569106,6.097560975609756,46.34146341463415
11015,165,178,343,44.68804664723032,56,30,74,87,96,16.3265306122449,27.988338192419825,51.89504373177842
11016,1221,1207,2428,42.2327018121911,486,216,564,595,567,20.0164744645799,23.352553542009886,49.71169686985173
11017,376,383,759,42.61923583662714,124,101,129,257,148,16.337285902503293,19.499341238471672,50.46113306982872
